ТИП1;ТИП2;ТИП3
Техподдержка;Стандартные ошибки Windows;691: Неверное имя пользователя/пароль
Техподдержка;Стандартные ошибки Windows;691: Нет авторизации
Техподдержка;Стандартные ошибки Windows;718: Нет авторизации
Техподдержка;Стандартные ошибки Windows;720: Не соглас. управл. протоколы PPP
Техподдержка;Стандартные ошибки Windows;734: Протокол управл. PPP был прерван
Техподдержка;Стандартные ошибки Windows;735: Запрош. IP-адрес отвернут сервером
Техподдержка;Стандартные ошибки Windows;738: Сервер не назначил адрес
Техподдержка;Стандартные ошибки Windows;764: Не удалось открыть диалоговое окно
Техподдержка;Стандартные ошибки Windows;769: Указанное значение недостижимо
Техподдержка;Стандартные ошибки Windows;777: Удаленный модем не отвечает
Техподдержка;Стандартные ошибки Windows;797: Модем не найден
Техподдержка;Стандартные ошибки Windows;834: Удаленный модем не отвечает
Техподдержка;Стандартные ошибки Windows;835: Удаленный модем не отвечает
Техподдержка;Стандартные ошибки Windows;Выберите
Техподдержка;Стандартные ошибки Windows;Другая ошибка (укажите в описании)
Техподдержка;Статус рассмотрения заявки;Не определено
Техподдержка;Статус ТТ;Предоставить документ
Техподдержка;Страхование;Проблемы с покупкой полиса
Техподдержка;Таксофоны. Проблемы;Выберите
Техподдержка;Таксофоны. Проблемы;Не отзвонился, SAM-модуль отсутствует
Техподдержка;Таксофоны. Проблемы;Не отзвонился
Техподдержка;Таксофоны. Проблемы;Обрыв разговора при исход./вход. связи
Техподдержка;Таксофоны. Проблемы;Обрыв телефонной трубки
Техподдержка;Таксофоны. Проблемы;Разряд батарейки
Техподдержка;Таксофоны. Проблемы;Сбой обмена, SAM-модуль отсутствует
Техподдержка;Таксофоны. Проблемы;Сбой обмена
Техподдержка;Таксофоны. Проблемы;Сброс часов, SAM-модуль отсутствует
Техподдержка;Таксофоны. Проблемы;Сброс часов
Техподдержка;Таксофоны. Проблемы;Сработал датчик КПУ при плановом отзв.
Техподдержка;Таксофоны. Проблемы;Таксофон отзвонился, SAM-модуля нет
Техподдержка;Таксофоны. Проблемы;Трубка не уложена при плановом отзвоне
Техподдержка;Таксофоны;Выберите
Техподдержка;Таксофоны;Качество работы
Техподдержка;Таксофоны;Не работает
Техподдержка;Таксофоны;Поврежден
Техподдержка;Тарификация и оплата;Выберите
Техподдержка;Тарификация и оплата;Подкл./изменение доп. опции
Техподдержка;Тарификация и оплата;Подкл./изменение тарифного плана
Техподдержка;Тарификация и оплата;Пополнение счета остальные способы
Техподдержка;Тарификация и оплата;Пополнение счета с банковской карты
Техподдержка;Тарификация и оплата;Просмотр актуального баланса счета
Техподдержка;Тарификация и оплата;Просмотр истории списаний со счета
Техподдержка;Тарификация и оплата;Списание денег со счета
Техподдержка;ТВ Wink Android ОТТ;Выберите
Техподдержка;ТВ Wink Android ОТТ;Геоблокировка
Техподдержка;ТВ Wink Android ОТТ;Искажение на всех каналах
Техподдержка;ТВ Wink Android ОТТ;Искажение на одном или неск. каналах
Техподдержка;ТВ Wink Android ОТТ;Не приходит код активации
Техподдержка;ТВ Wink Android ОТТ;Ошибка авторизации
Техподдержка;ТВ Wink Android ОТТ;Ошибка в отображении баланса
Техподдержка;ТВ Wink Android ОТТ;Ошибка в работе приложения
Техподдержка;ТВ Wink Android ОТТ;Ошибка при активации кода
Техподдержка;ТВ Wink Android ОТТ;Ошибка при оплате
Техподдержка;ТВ Wink Android ОТТ;Ошибка регистрации
Техподдержка;ТВ Wink Android ОТТ;Проблема с промокодом
Техподдержка;ТВ Wink Android ОТТ;Проблема с сайтом
Техподдержка;ТВ Wink Android ОТТ;Проблемы воспр. контента по проводу
Техподдержка;ТВ Wink Android ОТТ;Проблемы воспр. контента через Wi-Fi
Техподдержка;ТВ Wink Android ОТТ;Проблемы с подключением по проводу
Техподдержка;ТВ Wink Android ОТТ;Проблемы с подключением по Wi-Fi
Техподдержка;ТВ Wink Android ОТТ;Проблемы с сетью
Техподдержка;ТВ Wink Android ОТТ;Проблемы со звуком
Техподдержка;ТВ Wink Android ОТТ;Прочее
Техподдержка;ТВ Wink Android ОТТ;Рассинхронизация звука и изображения
Техподдержка;ТВ Wink Android ОТТ;Телеканал отсутствует
Техподдержка;ТВ Wink Android ОТТ;EPG (ТВ-программа)
Техподдержка;Умные счетчики;Выберите
Техподдержка;Умные счетчики;Другие проблемы с личным кабинетом
Техподдержка;Умные счетчики;Другие технические проблемы
Техподдержка;Умные счетчики;Запрос на консультацию и обслуживание
Техподдержка;Умные счетчики;Настройка замененного счетчика
Техподдержка;Умные счетчики;Не формируются/не выгружаются отчеты
Техподдержка;Умные счетчики;Неправильные показания счетчика в ЛК/МП
Техподдержка;Умные счетчики;Нет доступа в личный кабинет
Техподдержка;Умные счетчики;Нет доступа в ЛК/МП
Техподдержка;Умные счетчики;Нет доступа в мобильное приложение
Техподдержка;Умные счетчики;Повреждение линий связи к счетчику
Техподдержка;Умные счетчики;Проблемы с ЛК/МП
Техподдержка;Умные счетчики;Проблемы с мобильным приложением
Техподдержка;Умные счетчики;Счетчики/оборудование не работает
Техподдержка;Умные счетчики;Счетчики/оборудование неисправно
Техподдержка;Управление аккаунтом;Выберите
Техподдержка;Управление аккаунтом;Выход из аккаунта
Техподдержка;Управление аккаунтом;Отвязывание мобильного устройства
Техподдержка;Управление аккаунтом;Просмотр/редактирование конт.данных
Техподдержка;Управление аккаунтом;Просмотр/редактирование профиля УЗ
Техподдержка;Управление домом;Выберите
Техподдержка;Управление домом;Изменение режима дома
Техподдержка;Управление домом;Изменение свойств дома
Техподдержка;Управление домом;Поиск
Техподдержка;Управление домом;Просмотр критичных событий по дому
Техподдержка;Управление домом;Просмотр некритичных событий по дому
Техподдержка;Управление домом;Просмотр/завершение активных сессий
Техподдержка;Управление домом;Создание дополнительного дома
Техподдержка;Управление домом;Удаление дома
Техподдержка;Управление доп.устройствами;Выберите
Техподдержка;Управление доп.устройствами;Добавление устройств
Техподдержка;Управление доп.устройствами;Просмотр карточки устройств
Техподдержка;Управление доп.устройствами;Просмотр/изменение свойств устройств
Техподдержка;Управление доп.устройствами;Ручное управление устройствами
Техподдержка;Управление доп.устройствами;Удаление устройств
Техподдержка;Управление Игровым профилем/Опциями;Стаж. Не начислен/начислен неверно
Техподдержка;Управление камерой;Воспроизведение звука на камере
Техподдержка;Управление камерой;Воспроизведение звука с камеры
Техподдержка;Управление камерой;Выберите
Техподдержка;Управление камерой;Детекция событий камерой
Техподдержка;Управление камерой;Добавление камеры
Техподдержка;Управление камерой;Подкл. к интернету (провод. соединение)
Техподдержка;Управление камерой;Подкл. к интернету по QR коду
Техподдержка;Управление камерой;Подкл. к интернету по Wi-Fi (WPS)
Техподдержка;Управление камерой;Просмотр зафиксированного события
Техподдержка;Управление камерой;Просмотр и изменение свойств камеры
Техподдержка;Управление камерой;Просмотр онлайн-видеопотока с камеры
Техподдержка;Управление камерой;Скачивание клипа
Техподдержка;Управление камерой;Создание клипа
Техподдержка;Управление камерой;Сохранение скриншота
Техподдержка;Управление камерой;Удаление камеры
Техподдержка;Управление камерой;Устройство сломано
Техподдержка;Управление контроллером;Выберите
Техподдержка;Управление контроллером;Добавление контроллера в дом
Техподдержка;Управление контроллером;Подкл. к интернету (провод. соединение)
Техподдержка;Управление контроллером;Подкл. к интернету по Wi-FI (SSID+pass)
Техподдержка;Управление контроллером;Подкл. к интернету по Wi-Fi (WPS)
Техподдержка;Управление контроллером;Подкл. к интернету через 3G\4G модем
Техподдержка;Управление контроллером;Раздача интернета от контроллера по WiFi
Техподдержка;Управление контроллером;Удаление контроллера из дома
Техподдержка;Управление контроллером;Устройство сломано
Техподдержка;Управление сценариями;Автоматизированный запуск сценария
Техподдержка;Управление сценариями;Выберите
Техподдержка;Управление сценариями;Изменение сценария
Техподдержка;Управление сценариями;Ручной запуск сценария
Техподдержка;Управление сценариями;Создание сценария
Техподдержка;Управление сценариями;Удаление сценария
Техподдержка;Управление устройствами(комплект);Выберите
Техподдержка;Управление устройствами(комплект);Добавление устройств
Техподдержка;Управление устройствами(комплект);Просмотр карточки устройств
Техподдержка;Управление устройствами(комплект);Просмотр/изменение свойств устройств
Техподдержка;Управление устройствами(комплект);Ручное управление устройствами
Техподдержка;Управление устройствами(комплект);Удаление устройств
Техподдержка;Управление устройствами(комплект);Устройство сломано
Техподдержка;Услуга радио;Выберите
Техподдержка;Услуга радио;Качество работы
Техподдержка;Услуга радио;Не работает радиоканал
Техподдержка;Услуга радио;Радио точка не работает
Техподдержка;Услуги управления вызовами;Выберите
Техподдержка;Услуги управления вызовами;Не работает  запрет вызов
Техподдержка;Услуги управления вызовами;Не работает  конференц-связь
Техподдержка;Услуги управления вызовами;Не работает АНТИАОН
Техподдержка;Услуги управления вызовами;Не работает АОН
Техподдержка;Услуги управления вызовами;Не работает ожид./удерж. Вызова
Техподдержка;Услуги управления вызовами;Не работает переадресация
Техподдержка;Услуги управления вызовами;Неверная коммутация при переадресации
Техподдержка;Услуги управления вызовами;Некорректно определяется номер
Техподдержка;Услуги управления вызовами;Плохое качество конференц-связи
Техподдержка;Установка/перенос;Выберите
Техподдержка;Установка/перенос;Другое (укажите в описании)
Техподдержка;Установка/перенос;Нарушение срока подключения
Техподдержка;Установка/перенос;Не выполненая исталяция специалистом
Техподдержка;Установка/перенос;Нет наряда
Техподдержка;Установка/перенос;Нет портов на станции
Техподдержка;Установка/перенос;Проблема активации
Техподдержка;Установка/перенос;Проблема подключения услуги
Техподдержка;Финансовые вопросы;Выберите
Техподдержка;Финансовые вопросы;Карта заблокирована
Техподдержка;Финансовые вопросы;Не поступление средств на л/с
Техподдержка;Финансовые вопросы;Не согласен со списанием средств с карты
Техподдержка;Финансовые вопросы;Оплачено (со слов абонента)
Техподдержка;Финансовые вопросы;Ошибки
Техподдержка;Финансовые вопросы;Прочее
Техподдержка;Финансовые вопросы;Требование перерасчета
Техподдержка;Цифровая помощь;Выберите
Техподдержка;Цифровая помощь;Не откр. по ссылке инструкция по устан.
Техподдержка;Цифровая помощь;Не отображается SMS-код в ЛК/МП
Техподдержка;Цифровая помощь;Не подходит SMS-код
Техподдержка;Цифровая помощь;Не пришел SMS-код
Техподдержка;Цифровая помощь;Не скачивается ПО по ссылке
Техподдержка;Цифровая помощь;Не устанавливается ПО
Техподдержка;Цифровая помощь;"Неактивна кнопка ""Подключить"""
Техподдержка;Цифровая помощь;Некорр. отобр. раздел
Техподдержка;Цифровая помощь;Проблемы при покупке
Техподдержка;Чистый интернет;Внести сайт/реклам. сеть в белый список
Техподдержка;Чистый интернет;Выберите
Техподдержка;Чистый интернет;Не блокируется реклама
Техподдержка;Чистый интернет;Не отобр. разрешенная реклама
Техподдержка;Чистый интернет;Не отображается услуга/опция
Техподдержка;Чистый интернет;"Неактивна кнопка ""Подключить/Отключить"""
Техподдержка;Чистый интернет;Некорр. отобр. статус услуги/опции
Техподдержка;Чистый интернет;Некорр. отобр. стоимость тарифа/опции
Техподдержка;Чистый интернет;Отсутствует промо-период
Техподдержка;Чистый интернет;Ошибки при подключении/отключении услуги
Техподдержка;Шлагбаум;Выберите
Техподдержка;Шлагбаум;Выгрузка видеоархива
Техподдержка;Шлагбаум;Громкий шум при открытии/закрытии
Техподдержка;Шлагбаум;Другое
Техподдержка;Шлагбаум;Запрос на консультацию и обслуживание
Техподдержка;Шлагбаум;Мех. поврежд. камеры ворот/шлагбаума
Техподдержка;Шлагбаум;Механическое повреждение шлагбаума
Техподдержка;Шлагбаум;Не закрываются ворота/шлагбаум
Техподдержка;Шлагбаум;Не открывается ни по карте, ни по кнопке
Техподдержка;Шлагбаум;Не открывается по звонку на 8 800
Техподдержка;Шлагбаум;Не открывается по RFID-карте
Техподдержка;Шлагбаум;Не открывается/не разблок. через ЛК МП
Техподдержка;Шлагбаум;Не открываются ворота/шлагбаум
Техподдержка;Шлагбаум;Не работает кнопка у охранника
Техподдержка;Шлагбаум;Не срабатывает гостевой код 
Техподдержка;Шлагбаум;Не срабатывает гостевой код
Техподдержка;Шлагбаум;Нет доступа в ЛК/МП
Техподдержка;Шлагбаум;Обрыв трансляции с камеры шлагбаума
Техподдержка;Шлагбаум;Плохой звук камеры шлагбаума
Техподдержка;Шлагбаум;Повреждение камеры на воротах/шлагбауме
Техподдержка;Шлагбаум;Проблема в отправке уведомлений
Техподдержка;Шлагбаум;Проблема в отправке Push\смс уведомлений
Техподдержка;Шлагбаум;Проблемы с Личным кабинетом
Техподдержка;Шлагбаум;Проблемы с ЛК/МП
Техподдержка;Шлагбаум;Проблемы с мобильным приложением
Техподдержка;Шлагбаум;Сильный шум при открытии/закрытии
Техподдержка;Шлагбаум;Физическое повреждение шлагбаума
Техподдержка;Шлагбаум;Чувствительность датчика движения
Техподдержка;Электронная почта;Выберите
Техподдержка;Электронная почта;Настройка почтового клиента
Техподдержка;Электронная почта;Не доходят письма с некоторых серверов
Техподдержка;Электронная почта;Не открываются вложения
Техподдержка;Электронная почта;Не удается отправить почту
Техподдержка;Электронная почта;Не удается получить почту
Техподдержка;Электронная почта;Проблемы авторизации
Техподдержка;Яндекс.Диск;Аккаунт привязан к др. услуге ШПД
Техподдержка;Яндекс.Диск;Активировать опцию невозможно
Техподдержка;Яндекс.Диск;Выберите
Техподдержка;Яндекс.Диск;Заявка на подкл. не обраб. (более 24 ч)
Техподдержка;Яндекс.Диск;"Кнопка ""Активировать опцию"" неактивна"
Техподдержка;Яндекс.Диск;"Нет кнопки ""Активировать опцию"""
Техподдержка;Яндекс.Диск;Оплатил, объем не начислен (более 24 ч)
Техподдержка;Яндекс.Диск;Опция активирована, объем не начислен
Техподдержка;Яндекс.Диск;Ошибка при активации опции
Техподдержка;Яндекс.Диск;Прочее
Техподдержка;AdBlock;Внести сайт/реклам. сеть в белый список
Техподдержка;AdBlock;Выберите
Техподдержка;AdBlock;Не блокируется реклама
Техподдержка;AdBlock;Не отобр. разрешенная реклама
Техподдержка;AdBlock;Не отображается услуга/опция
Техподдержка;AdBlock;"Неактивна кнопка ""Подключить/Отключить"""
Техподдержка;AdBlock;Некорр. отобр. статус услуги/опции
Техподдержка;AdBlock;Некорр. отобр. стоимость тарифа/опции
Техподдержка;AdBlock;Отсутствует промо-период
Техподдержка;AdBlock;Ошибки при подключении/отключении услуги
Техподдержка;Cайт RT.RU;Выберите
Техподдержка;Cайт RT.RU;Неудобная навигация/поиск информации
Техподдержка;Cайт RT.RU;Онлайн чат
Техподдержка;Cайт RT.RU;Оплата услуг
Техподдержка;Cайт RT.RU;Отсутствует/некорректная информация
Техподдержка;Cайт RT.RU;Переезд
Техподдержка;Cайт RT.RU;Подключение услуг
Техподдержка;Cайт RT.RU;Сайт недоступен/медленно работает
Техподдержка;Cайт RT.RU;Форма обратной связи
Техподдержка;Cайт RT.RU;Форма расторжения договора
Техподдержка;GFN.RU.Облачные игры;Выберите
Техподдержка;GFN.RU.Облачные игры;Не отображается услуга/опция
Техподдержка;GFN.RU.Облачные игры;Не работает игра
Техподдержка;GFN.RU.Облачные игры;"Неактивна кнопка ""Подключить/Отключить"""
Техподдержка;GFN.RU.Облачные игры;Некорр. отобр. статус услуги/опции
Техподдержка;GFN.RU.Облачные игры;Некорр. отобр. стоимость тарифа/опции
Техподдержка;GFN.RU.Облачные игры;Нет кнопки активация
Техподдержка;GFN.RU.Облачные игры;Отсутствует доступ к GFN.RU
Техподдержка;GFN.RU.Облачные игры;Ошибка при активации опции
Техподдержка;GFN.RU.Облачные игры;Ошибки при подключении/отключении услуги
Техподдержка;GFN.RU.Облачные игры;Услуга активир., контент не предоставлен
Техподдержка;IP-телефония в кредит/по карте;Выберите
Техподдержка;IP-телефония в кредит/по карте;Плох слышим-ть помехи/шум/прерыв/задерж
Техподдержка;IP-телефония в кредит/по карте;Сообщение о  недоступности  услуги
Техподдержка;IP-телефония в кредит/по карте;Сообщение о неверном наборе номера
Техподдержка;Light Wi-Fi;Выберите
Техподдержка;Light Wi-Fi;Другое
Техподдержка;Light Wi-Fi;Не устанавливается соединение по Wi-Fi
Техподдержка;Light Wi-Fi;Неисправность оборудования
Техподдержка;Light Wi-Fi;Нет доступа в личный кабинет
Техподдержка;Light Wi-Fi;Низкая скорость по Wi-Fi
Техподдержка;Light Wi-Fi;Перемещение CPE
Техподдержка;Light Wi-Fi;Проблемы с идентификацией
Техподдержка;Light Wi-Fi;Проблемы с Личным кабинетом
Техподдержка;Light Wi-Fi;Проблемы с подключением по Wi-Fi
Техподдержка;Light Wi-Fi;Слабый уровень приема сигнала
Техподдержка;MMS;Выберите
Техподдержка;MMS;Задержка доставки сообщений
Техподдержка;MMS;Многократная доставка сообщений
Техподдержка;MMS;Многократная отправка сообщений
Техподдержка;MMS;Не доставляются сообщения
Техподдержка;MMS;Не отображается содержимое сообщений
Техподдержка;MMS;Не отправляются сообщения
Техподдержка;MMS;Не работает подкл./откл. услуги
Техподдержка;MMS;Прочее
Техподдержка;MY.GAMES. Игровая опция;Бонусы исчезли
Техподдержка;MY.GAMES. Игровая опция;Бонусы не начислены
Техподдержка;MY.GAMES. Игровая опция;Бонусы, порядок получения
Техподдержка;MY.GAMES. Игровая опция;Бонусы. Есть, но недоступны
Техподдержка;MY.GAMES. Игровая опция;Бонусы. Нет после оплаты долга
Техподдержка;MY.GAMES. Игровая опция;Выберите
Техподдержка;MY.GAMES. Игровая опция;Игр.аккаунт заблокирован
Техподдержка;MY.GAMES. Игровая опция;Игр.аккаунт нет кнопки включения
Техподдержка;MY.GAMES. Игровая опция;Игр.аккаунт порядок вкл/откл
Техподдержка;MY.GAMES. Игровая опция;Игр.аккаунт привязан к другой услуге
Техподдержка;MY.GAMES. Игровая опция;Игр.опция исчезла
Техподдержка;MY.GAMES. Игровая опция;Игр.опция нет кнопки активации
Техподдержка;MY.GAMES. Игровая опция;Игр.опция порядок активации/смены
Техподдержка;MY.GAMES. Игровая опция;Игр.опция/аккаунт не вкл/откл.
Техподдержка;MY.GAMES. Игровая опция;Игр.опция/аккаунт не работает смена
Техподдержка;MY.GAMES. Игровая опция;Игра не работает на планшете/приставке
Техподдержка;MY.GAMES. Игровая опция;Прочее
Техподдержка;Office 365 ПО;Выберите
Техподдержка;Office 365 ПО;Не обновляется ПО
Техподдержка;Office 365 ПО;Не откр. по ссылке инструкция по устан.
Техподдержка;Office 365 ПО;Не отобр.подписка в блоке Мои подписки
Техподдержка;Office 365 ПО;Не отображ. активац. ключ в ЕЛК
Техподдержка;Office 365 ПО;Не отображ. блок Мои подписки в ЕЛК
Техподдержка;Office 365 ПО;Не подходит активационный ключ
Техподдержка;Office 365 ПО;Не пришел активационный пакет
Техподдержка;Office 365 ПО;Не скачивается ПО по ссылке
Техподдержка;Office 365 ПО;Не устанавливается ПО
Техподдержка;Office 365 ПО;Ошибка в описании ПО
Техподдержка;Office 365 ПО;Ошибка при активации ключа
Техподдержка;Office 365 ПО;Проблемы при покупке за бонусы
Техподдержка;Office 365 ПО;Проблемы при покупке за деньги
Техподдержка;Office 365 ПО;Проблемы с оплатой бонусами
Техподдержка;Office 365 ПО;Проблемы с подключением в ЕЛК/МЛК
Техподдержка;Office 365 ПО;Прочее
Техподдержка;Office 365 ПО;Прочие проблемы с подключением/ключом
Техподдержка;Sim-карта;Выберите
Техподдержка;Sim-карта;Нет регистрации в сети
Техподдержка;Sim-карта;Предоставление PIN/PUK-кода
Техподдержка;SMS;Выберите
Техподдержка;SMS;Задержка доставки сообщений
Техподдержка;SMS;Многократная доставка сообщений
Техподдержка;SMS;Многократная отправка сообщений
Техподдержка;SMS;Не работает подкл./откл. услуги
Техподдержка;SMS;Некорректно определ. номер отправителя
Техподдержка;SMS;Отсутствие SMS от банков/сервисов
Техподдержка;SMS;Прочее
Техподдержка;SMS;Сообщение не отправляется
Техподдержка;SMS;Сообщение не поступает
Техподдержка;Warface. Игровая опция;Бонусы исчезли
Техподдержка;Warface. Игровая опция;Бонусы не начислены
Техподдержка;Warface. Игровая опция;Бонусы, порядок получения
Техподдержка;Warface. Игровая опция;Бонусы. Есть, но недоступны
Техподдержка;Warface. Игровая опция;Бонусы. Нет после оплаты долга
Техподдержка;Warface. Игровая опция;Выберите
Техподдержка;Warface. Игровая опция;Игр.аккаунт заблокирован
Техподдержка;Warface. Игровая опция;Игр.аккаунт нет кнопки включения
Техподдержка;Warface. Игровая опция;Игр.аккаунт порядок вкл/откл
Техподдержка;Warface. Игровая опция;Игр.аккаунт привязан к другой услуге
Техподдержка;Warface. Игровая опция;Игр.опция исчезла
Техподдержка;Warface. Игровая опция;Игр.опция нет кнопки активации
Техподдержка;Warface. Игровая опция;Игр.опция порядок активации/смены
Техподдержка;Warface. Игровая опция;Игр.опция/аккаунт не вкл/откл.
Техподдержка;Warface. Игровая опция;Игр.опция/аккаунт не работает смена
Техподдержка;Warface. Игровая опция;Игра не работает на планшете/приставке
Техподдержка;Warface. Игровая опция;Прочее
Техподдержка;Wargaming. Игровая опция;Боевое братство.Нет после смены аккаунта
Техподдержка;Wargaming. Игровая опция;Бонусы исчезли
Техподдержка;Wargaming. Игровая опция;Бонусы не начислены
Техподдержка;Wargaming. Игровая опция;Бонусы, порядок получения
Техподдержка;Wargaming. Игровая опция;Бонусы. Есть, но недоступны
Техподдержка;Wargaming. Игровая опция;Бонусы. Нет после оплаты долга
Техподдержка;Wargaming. Игровая опция;Выберите
Техподдержка;Wargaming. Игровая опция;Игр.аккаунт заблокирован
Техподдержка;Wargaming. Игровая опция;Игр.аккаунт нет кнопки включения
Техподдержка;Wargaming. Игровая опция;Игр.аккаунт порядок вкл/откл
Техподдержка;Wargaming. Игровая опция;Игр.аккаунт привязан к другой услуге
Техподдержка;Wargaming. Игровая опция;Игр.опция исчезла
Техподдержка;Wargaming. Игровая опция;Игр.опция нет кнопки активации
Техподдержка;Wargaming. Игровая опция;Игр.опция порядок активации/смены
Техподдержка;Wargaming. Игровая опция;Игр.опция/аккаунт не вкл/откл.
Техподдержка;Wargaming. Игровая опция;Игр.опция/аккаунт не работает смена
Техподдержка;Wargaming. Игровая опция;Игра не работает на планшете/приставке
Техподдержка;Wargaming. Игровая опция;Навыки командира. Нет после смены акк.
Техподдержка;Wargaming. Игровая опция;Отсутствует премиум-аккаунт
Техподдержка;Wargaming. Игровая опция;Отсутствует премиум-техника
Техподдержка;Wargaming. Игровая опция;Прочее
Техподдержка;Wink ТВ-Онлайн;Выберите
Техподдержка;Wink ТВ-Онлайн;Искажение на всех каналах
Техподдержка;Wink ТВ-Онлайн;Искажение на одном или неск. каналах
Техподдержка;Wink ТВ-Онлайн;Настройка клиентского оборудования
Техподдержка;Wink ТВ-Онлайн;Не приходит код активации
Техподдержка;Wink ТВ-Онлайн;Ошибка авторизации
Техподдержка;Wink ТВ-Онлайн;Ошибка в отображении баланса
Техподдержка;Wink ТВ-Онлайн;Ошибка в работе приложения
Техподдержка;Wink ТВ-Онлайн;Ошибка при активации кода
Техподдержка;Wink ТВ-Онлайн;Ошибка при оплате
Техподдержка;Wink ТВ-Онлайн;Ошибка регистрации
Техподдержка;Wink ТВ-Онлайн;Подключение клиентского оборудования
Техподдержка;Wink ТВ-Онлайн;Проблема с промокодом
Техподдержка;Wink ТВ-Онлайн;Проблема с сайтом
Техподдержка;Wink ТВ-Онлайн;Проблемы подкл. оборудования по Wi-Fi
Техподдержка;Wink ТВ-Онлайн;Проблемы с сетью
Техподдержка;Wink ТВ-Онлайн;Проблемы со звуком
Техподдержка;Wink ТВ-Онлайн;Прочее
Техподдержка;Wink ТВ-Онлайн;Рассинхронизация звука и изображения
Техподдержка;Wink ТВ-Онлайн;Телеканал отсутствует
Техподдержка;Wink ТВ-Онлайн;EPG (ТВ-программа)
Удержание. Внешняя система;Конфигурация услуг;Возврат оборудования
Удержание. Внешняя система;Конфигурация услуг;Откл. за дебитор. задолженность
Удержание. Внешняя система;Конфигурация услуг;Откл. услуг во внеш. системе
Удержание. Внешняя система;Конфигурация услуг;По данным ВЦКП ЛС закрыт
Удержание. Внешняя система;Конфигурация услуг;Расторжение договора
Упр. единым договором;Выберите;Выберите
Упр. единым договором;Заключение доп.соглашения;Предоставить документ
Упр. единым договором;Запрос копии договора;Предоставить документ
Упр. единым договором;Изменение реквизитов клиентов в договоре;Внести изменения
Упр. единым договором;Переоформление документов;Предоставить документ
Упр. единым договором;Расторжение договора;Предоставить документ
Управление договорами;Бронирование SIM-карты;Не определено
Управление договорами;Восстановление договора;Не определено
Управление договорами;Выберите;Выберите
Управление договорами;Заключение доп.соглашения;Предоставить документ
Управление договорами;Замена SIM-карты;Не определено
Управление договорами;Запрос документов в архиве;Предоставить документ
Управление договорами;Запрос документов в др. подразделениях;Предоставить документ
Управление договорами;Запрос копии договора;Предоставить документ
Управление договорами;Изменение данных клиента в договоре;Внести изменения
Управление договорами;Изменение данных клиента в договоре;Выберите
Управление договорами;Изменение данных клиента в договоре;Изменение параметров доставки РПД
Управление договорами;Изменение признака 09;Не определено
Управление договорами;Интернет по MLM;Изменение данных клиента в договоре
Управление договорами;Контакт на чужом ЛС;Удалить контакт
Управление договорами;Обновление данных об оборудовании;Выберите
Управление договорами;Обновление данных об оборудовании;Изменение серийных номеров
Управление договорами;Обновление данных об оборудовании;Изменение условий предоставления оборуд.
Управление договорами;Обновление данных об оборудовании;Не определено
Управление договорами;Переоформление;Выберите
Управление договорами;Переоформление;Переоформление на пользователя номера
Управление договорами;Переоформление;Предоставить документ
Управление договорами;Переоформление;С физ. лица на физ. лицо
